seed,outcome,battles_won,final_hp,traits_acquired_count
0,won,18,80,29
1,lost,5,74,7
2,won,18,80,30
3,lost,5,70,6
4,won,18,65,31
5,lost,5,67,5
6,lost,5,80,7
7,won,18,80,33
8,won,18,80,32
9,won,18,80,30
10,lost,5,66,7
11,won,18,80,29
12,won,18,80,27
13,won,18,80,27
14,lost,5,75,7
15,won,18,62,31
16,lost,11,38,15
17,won,18,80,33
18,won,18,80,31
19,lost,5,80,5
20,won,18,80,32
21,won,18,80,27
22,won,18,80,28
23,won,18,76,29
24,won,18,63,30
25,won,18,49,26
26,won,18,80,30
27,won,18,75,28
28,won,18,80,33
29,lost,5,80,9
30,won,18,80,27
31,lost,5,58,5
32,lost,5,78,7
33,won,18,80,29
34,won,18,80,32
35,lost,5,66,7
36,won,18,80,30
37,lost,5,80,6
38,won,18,58,27
39,lost,5,65,7
40,lost,5,76,8
41,lost,5,80,3
42,won,18,71,30
43,lost,5,80,8
44,lost,5,54,3
45,lost,5,72,6
46,won,18,80,32
47,lost,5,71,8
48,won,18,76,30
49,won,18,80,28
50,won,18,80,30
51,won,18,80,34
52,won,18,80,31
53,lost,5,80,7
54,won,18,80,30
55,won,18,80,28
56,won,18,80,34
57,lost,5,74,7
58,won,18,80,31
59,won,18,80,28
60,lost,5,80,8
61,lost,5,77,8
62,won,18,80,30
63,lost,5,75,10
64,won,18,43,29
65,lost,5,68,7
66,won,18,37,30
67,lost,5,73,5
68,won,18,80,29
69,won,18,80,31
70,won,18,80,33
71,lost,11,74,16
72,won,18,49,29
73,won,18,80,29
74,lost,5,61,6
75,won,18,80,30
76,won,18,57,31
77,won,18,80,29
78,won,18,80,29
79,lost,5,77,5
80,won,18,63,27
81,won,18,80,32
82,lost,5,78,7
83,won,18,57,28
84,won,18,80,29
85,won,18,43,30
86,lost,11,47,15
87,won,18,29,33
88,lost,11,57,14
89,lost,5,79,6
90,lost,5,64,7
91,lost,5,75,6
92,won,18,80,29
93,won,18,80,28
94,lost,5,67,6
95,won,18,80,28
96,lost,5,60,8
97,won,18,80,31
98,lost,5,68,6
99,lost,5,68,9
100,won,18,80,31
101,won,18,63,30
102,won,18,80,27
103,won,18,80,29
104,won,18,80,28
105,lost,5,76,7
106,won,18,80,30
107,won,18,56,30
108,won,18,80,30
109,won,18,80,31
110,lost,5,77,7
111,won,18,76,32
112,lost,11,44,17
113,won,18,80,28
114,lost,5,62,6
115,lost,5,70,9
116,lost,5,80,6
117,won,18,80,31
118,lost,5,75,8
119,won,18,80,30
120,won,18,80,29
121,lost,5,75,7
122,lost,5,77,6
123,won,18,24,29
124,won,18,66,30
125,lost,5,75,5
126,won,18,80,31
127,lost,5,80,7
128,won,18,80,34
129,won,18,80,30
130,lost,5,74,7
131,won,18,80,31
132,won,18,74,31
133,won,18,53,30
134,lost,5,77,8
135,lost,5,71,7
136,lost,5,52,8
137,won,18,64,26
138,lost,5,73,8
139,won,18,80,28
140,won,18,55,30
141,lost,5,77,7
142,lost,5,77,7
143,won,18,52,30
144,lost,5,80,8
145,won,18,80,29
146,won,18,80,29
147,won,18,80,28
148,won,18,76,29
149,won,18,80,29
150,won,18,80,27
151,won,18,80,31
152,lost,5,69,6
153,lost,5,80,7
154,won,18,56,32
155,won,18,80,28
156,won,18,80,32
157,won,18,75,30
158,won,18,78,27
159,lost,5,62,4
160,won,18,80,34
161,won,18,80,33
162,won,18,59,28
163,won,18,62,29
164,lost,5,80,6
165,lost,5,52,6
166,lost,5,73,8
167,lost,5,64,5
168,won,18,73,26
169,won,18,73,28
170,won,18,80,29
171,won,18,80,28
172,lost,5,77,7
173,won,18,80,29
174,lost,5,78,6
175,won,18,52,28
176,won,18,70,32
177,won,18,80,29
178,lost,5,65,5
179,lost,5,80,5
